ID,Parameter_ID,Name,Description
GC01a-1,GC01a,1,present
GC01a-0,GC01a,0,absent
GC01a-x,GC01a,?,indeterminate
GC01b-1,GC01b,1,present
GC01b-0,GC01b,0,absent
GC01b-x,GC01b,?,indeterminate
GC01c-1,GC01c,1,present
GC01c-0,GC01c,0,absent
GC01c-x,GC01c,?,indeterminate
GC02a-1,GC02a,1,present
GC02a-0,GC02a,0,absent
GC02a-x,GC02a,?,indeterminate
GC02b-1,GC02b,1,present
GC02b-0,GC02b,0,absent
GC02b-x,GC02b,?,indeterminate
GC02c-1,GC02c,1,present
GC02c-0,GC02c,0,absent
GC02c-x,GC02c,?,indeterminate
GC02d-1,GC02d,1,present
GC02d-0,GC02d,0,absent
GC02d-x,GC02d,?,indeterminate
GC03-1,GC03,1,present
GC03-0,GC03,0,absent
GC03-x,GC03,?,indeterminate
GC04a-1,GC04a,1,present
GC04a-0,GC04a,0,absent
GC04a-x,GC04a,?,indeterminate
GC04b-1,GC04b,1,present
GC04b-0,GC04b,0,absent
GC04b-x,GC04b,?,indeterminate
GC05a-1,GC05a,1,present
GC05a-0,GC05a,0,absent
GC05a-x,GC05a,?,indeterminate
GC05b-1,GC05b,1,present
GC05b-0,GC05b,0,absent
GC05b-x,GC05b,?,indeterminate
GC06a-1,GC06a,1,present
GC06a-0,GC06a,0,absent
GC06a-x,GC06a,?,indeterminate
GC06b-1,GC06b,1,present
GC06b-0,GC06b,0,absent
GC06b-x,GC06b,?,indeterminate
GC07a-1,GC07a,1,present
GC07a-0,GC07a,0,absent
GC07a-x,GC07a,?,indeterminate
GC07b-1,GC07b,1,present
GC07b-0,GC07b,0,absent
GC07b-x,GC07b,?,indeterminate
PH01a-1,PH01a,1,present
PH01a-0,PH01a,0,absent
PH01a-x,PH01a,?,indeterminate
PH01b-1,PH01b,1,present
PH01b-0,PH01b,0,absent
PH01b-x,PH01b,?,indeterminate
PH01c-1,PH01c,1,present
PH01c-0,PH01c,0,absent
PH01c-x,PH01c,?,indeterminate
PH02a-1,PH02a,1,present
PH02a-0,PH02a,0,absent
PH02a-x,PH02a,?,indeterminate
PH02b-1,PH02b,1,present
PH02b-0,PH02b,0,absent
PH02b-x,PH02b,?,indeterminate
PH03a-1,PH03a,1,present
PH03a-0,PH03a,0,absent
PH03a-x,PH03a,?,indeterminate
PH03b-1,PH03b,1,present
PH03b-0,PH03b,0,absent
PH03b-x,PH03b,?,indeterminate
PH03c-1,PH03c,1,present
PH03c-0,PH03c,0,absent
PH03c-x,PH03c,?,indeterminate
PH03d-1,PH03d,1,present
PH03d-0,PH03d,0,absent
PH03d-x,PH03d,?,indeterminate
PH04-1,PH04,1,present
PH04-0,PH04,0,absent
PH04-x,PH04,?,indeterminate
PH05a-1,PH05a,1,present
PH05a-0,PH05a,0,absent
PH05a-x,PH05a,?,indeterminate
PH05b-1,PH05b,1,present
PH05b-0,PH05b,0,absent
PH05b-x,PH05b,?,indeterminate
PH06-1,PH06,1,present
PH06-0,PH06,0,absent
PH06-x,PH06,?,indeterminate
PH07-1,PH07,1,present
PH07-0,PH07,0,absent
PH07-x,PH07,?,indeterminate
PH08a-1,PH08a,1,present
PH08a-0,PH08a,0,absent
PH08a-x,PH08a,?,indeterminate
PH08b-1,PH08b,1,present
PH08b-0,PH08b,0,absent
PH08b-x,PH08b,?,indeterminate
WO01a-1,WO01a,1,present
WO01a-0,WO01a,0,absent
WO01a-x,WO01a,?,indeterminate
WO01b-1,WO01b,1,present
WO01b-0,WO01b,0,absent
WO01b-x,WO01b,?,indeterminate
WO02a-1,WO02a,1,present
WO02a-0,WO02a,0,absent
WO02a-x,WO02a,?,indeterminate
WO02b-1,WO02b,1,present
WO02b-0,WO02b,0,absent
WO02b-x,WO02b,?,indeterminate
WO02c-1,WO02c,1,present
WO02c-0,WO02c,0,absent
WO02c-x,WO02c,?,indeterminate
WO03-1,WO03,1,present
WO03-0,WO03,0,absent
WO03-x,WO03,?,indeterminate
WO04a-1,WO04a,1,present
WO04a-0,WO04a,0,absent
WO04a-x,WO04a,?,indeterminate
WO04b-1,WO04b,1,present
WO04b-0,WO04b,0,absent
WO04b-x,WO04b,?,indeterminate
WO05a-1,WO05a,1,present
WO05a-0,WO05a,0,absent
WO05a-x,WO05a,?,indeterminate
WO05b-1,WO05b,1,present
WO05b-0,WO05b,0,absent
WO05b-x,WO05b,?,indeterminate
WO06-1,WO06,1,present
WO06-0,WO06,0,absent
WO06-x,WO06,?,indeterminate
WO07a-1,WO07a,1,present
WO07a-0,WO07a,0,absent
WO07a-x,WO07a,?,indeterminate
WO07b-1,WO07b,1,present
WO07b-0,WO07b,0,absent
WO07b-x,WO07b,?,indeterminate
WO08-1,WO08,1,present
WO08-0,WO08,0,absent
WO08-x,WO08,?,indeterminate
WO09-1,WO09,1,present
WO09-0,WO09,0,absent
WO09-x,WO09,?,indeterminate
WO10-1,WO10,1,present
WO10-0,WO10,0,absent
WO10-x,WO10,?,indeterminate
CS01a-1,CS01a,1,present
CS01a-0,CS01a,0,absent
CS01a-x,CS01a,?,indeterminate
CS01b-1,CS01b,1,present
CS01b-0,CS01b,0,absent
CS01b-x,CS01b,?,indeterminate
CS02a-1,CS02a,1,present
CS02a-0,CS02a,0,absent
CS02a-x,CS02a,?,indeterminate
CS02b-1,CS02b,1,present
CS02b-0,CS02b,0,absent
CS02b-x,CS02b,?,indeterminate
CS03a-1,CS03a,1,present
CS03a-0,CS03a,0,absent
CS03a-x,CS03a,?,indeterminate
CS03b-1,CS03b,1,present
CS03b-0,CS03b,0,absent
CS03b-x,CS03b,?,indeterminate
CS03c-1,CS03c,1,present
CS03c-0,CS03c,0,absent
CS03c-x,CS03c,?,indeterminate
CS04a-1,CS04a,1,present
CS04a-0,CS04a,0,absent
CS04a-x,CS04a,?,indeterminate
CS04b-1,CS04b,1,present
CS04b-0,CS04b,0,absent
CS04b-x,CS04b,?,indeterminate
CS05-1,CS05,1,present
CS05-0,CS05,0,absent
CS05-x,CS05,?,indeterminate
CS06a-1,CS06a,1,present
CS06a-0,CS06a,0,absent
CS06a-x,CS06a,?,indeterminate
CS06b-1,CS06b,1,present
CS06b-0,CS06b,0,absent
CS06b-x,CS06b,?,indeterminate
CS06c-1,CS06c,1,present
CS06c-0,CS06c,0,absent
CS06c-x,CS06c,?,indeterminate
CS07-1,CS07,1,present
CS07-0,CS07,0,absent
CS07-x,CS07,?,indeterminate
CS08-1,CS08,1,present
CS08-0,CS08,0,absent
CS08-x,CS08,?,indeterminate
CS09-1,CS09,1,present
CS09-0,CS09,0,absent
CS09-x,CS09,?,indeterminate
LX01a-1,LX01a,1,present
LX01a-0,LX01a,0,absent
LX01a-x,LX01a,?,indeterminate
LX01b-1,LX01b,1,present
LX01b-0,LX01b,0,absent
LX01b-x,LX01b,?,indeterminate
LX01c-1,LX01c,1,present
LX01c-0,LX01c,0,absent
LX01c-x,LX01c,?,indeterminate
LX01d-1,LX01d,1,present
LX01d-0,LX01d,0,absent
LX01d-x,LX01d,?,indeterminate
LX01e-1,LX01e,1,present
LX01e-0,LX01e,0,absent
LX01e-x,LX01e,?,indeterminate
LX02a-1,LX02a,1,present
LX02a-0,LX02a,0,absent
LX02a-x,LX02a,?,indeterminate
