ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
ask,Ashkun,ashu1242,Ashuruveri,ask,Eurasia,35.03056,70.50105,Indo-European
bft,Balti,balt1258,Balti,bft,Eurasia,35.23616,76.18363,Sino-Tibetan
btv,Bateri,bate1261,Bateri,btv,Eurasia,34.9582,72.92674,Indo-European
bkk,Brokskat,brok1247,Brokskat,bkk,Eurasia,34.63458,76.43277,Indo-European
bsk_h,Burushaski Hunza,hunz1248,Hunza,bsk,Eurasia,36.31293,74.59822,Burushaski
bsk_n,Burushaski Nagar,naga1398,Nagar,bsk,Eurasia,36.2399,74.3672,Burushaski
dml,Dameli,dame1241,Dameli,dml,Eurasia,35.37663,71.68785,Indo-European
prs_d,Darwazi,darw1234,Darwazi,prs,Eurasia,38.33353,70.6845,Indo-European
gwt_a,Gawarbati (Afgh),gawa1247,Gawar-Bati,gwt,Eurasia,35.22136,71.52251,Indo-European
gwt_p,Gawarbati (Pak),gawa1247,Gawar-Bati,gwt,Eurasia,35.31012,71.54742,Indo-European
gwc,Gawri,kala1374,Kalam (Pakistan),gwc,Eurasia,35.48367,72.59606,Indo-European
gju_a,Gojri (Afgh),west2375,Western Gujari,gju,Eurasia,34.83931,69.64719,Indo-European
gju_p,Gojri (Pak),east2311,Eastern Gujari,gju,Eurasia,34.73142,73.99123,Indo-European
hno,Hindko,nort2662,Northern Hindko,hno,Eurasia,34.23857,73.19852,Indo-European
mvy,Indus Kohistani,indu1242,Indus,mvy,Eurasia,35.29917,73.18961,Indo-European
isk,Ishkashimi,ishk1244,Nuclear Ishkashimi,isk,Eurasia,36.73882,71.55875,Indo-European
kls,Kalasha,nort2663,Northern Kalasha,kls,Eurasia,35.70835,71.70143,Indo-European
xka,Kalkoti,kalk1245,Kalkoti,xka,Eurasia,35.40617,72.1748,Indo-European
xvi,Kamviri,nucl1277,Kamdeshi,xvi,Eurasia,35.40986,71.33679,Indo-European
kas_i,Kashmiri (Ind),stan1304,Standard Kashmiri,kas,Eurasia,33.961,74.87453,Indo-European
kas_p,Kashmiri (Pak),kash1277,Kashmiri,kas,Eurasia,34.79469,74.17695,Indo-European
bsh_e,Kati (Eastern),east2308,Eastern Kativiri,bsh,Eurasia,35.64028,71.33226,Indo-European
bsh_w,Kati (Western),west2372,Western Kativiri,bsh,Eurasia,35.22691,70.34477,Indo-European
khw,Khowar,nort2664,North Khowar,khw,Eurasia,36.27825,72.51906,Indo-European
plk,Kohistani Shina,pala1333,Palasi,plk,Eurasia,35.05837,73.18946,Indo-European
shd,Kundal Shahi,kund1257,Kundal Shahi,shd,Eurasia,34.55627,73.82363,Indo-European
kir,Kyrgyz,kirg1245,Kirghiz,kir,Eurasia,36.89837,73.97764,Turkic
lbj,Ladakhi,lehh1238,,lbj,,34.1224,77.25266,
mnj,Munji,nort2649,Northern Munji,mnj,Eurasia,35.96907,70.90873,Indo-European
phr,Pothwari ,poth1238,Pothwari,phr,Eurasia,33.57315,73.06263,Indo-European
phl,Palula,ashr1238,Ashreti,phl,Eurasia,35.43939,71.73994,Indo-European
prc,Parachi,ghuj1238,Ghujulan,prc,Eurasia,35.09915,69.64719,Indo-European
psh_ai,Pashai Alasai,alas1253,Alasai,psh,Eurasia,34.94335,69.75364,Indo-European
psi_ar,Pashai Alingar,alin1238,Alingar,psi,Eurasia,34.92865,70.08457,Indo-European
glh_ag,Pashai Alishang,naji1238,Najil,glh,Eurasia,34.73142,73.99123,Indo-European
psi_am,Pashai Amla,darr1238,Darrai Nur,psi,Eurasia,34.67743,70.57805,Indo-European
aee_at,Pashai Aret,aret1240,Aret,aee,Eurasia,34.74631,70.72301,Indo-European
aee_ch,Pashai Chalas,chal1263,Chalas,aee,Eurasia,34.75934,70.86116,Indo-European
aee_kg,Pashai Korangal,kura1247,Kurangal,aee,Eurasia,34.90063,70.92458,Indo-European
glh_sn,Pashai Sanjan,sanj1275,Sanjan,glh,Eurasia,35.13991,69.36181,Indo-European
aee_sh,Pashai Shemal,kand1293,Kandak,aee,Eurasia,34.75934,70.5622,Indo-European
