ID,objid,fname,mimetype,size
8d4cedebae4641f69dcd681fe9d5573a,EAEA0-00CD-9914-C7FF-0,ask_40_40.wav,audio/x-wav,95540
4f5831a21fee36b319ad607a5557a320,EAEA0-00CD-9914-C7FF-0,web.mp3,audio/mpeg,24031
1b708911e8e176e1fad43e385372ebee,EAEA0-053C-E9B9-593D-0,ask_40_27.wav,audio/x-wav,177020
8d4fd84ec2fa80025f6476ab7b25386b,EAEA0-053C-E9B9-593D-0,web.mp3,audio/mpeg,42840
9b6e043c2f2aa02a59503d548f6431c1,EAEA0-0734-64D8-609E-0,ask_40_07.wav,audio/x-wav,98168
519f4a08b587ef2d64aa6cdecc365f75,EAEA0-0734-64D8-609E-0,web.mp3,audio/mpeg,25076
734b9efff61afb9198c4ae389a62f136,EAEA0-0E27-70A3-67BF-0,ask_40_26.wav,audio/x-wav,95540
03b127727cdae5402f4bdcc35a7c277c,EAEA0-0E27-70A3-67BF-0,web.mp3,audio/mpeg,24031
dcbff39b1869a385fbff13aa550f7818,EAEA0-18CB-E8B9-6F9C-0,ask_40_33.wav,audio/x-wav,130588
90f0d8bdd49f32cd61362b699d51b2a5,EAEA0-18CB-E8B9-6F9C-0,web.mp3,audio/mpeg,32391
216203d08cdab27921c4b2db2059e9c2,EAEA0-1C9E-E88C-75A9-0,ask_40_36.wav,audio/x-wav,110436
934d491964d51e3c785a728cbd22e70b,EAEA0-1C9E-E88C-75A9-0,web.mp3,audio/mpeg,27166
21923f0e6676f35e64fdddf18de6c263,EAEA0-1DA0-002E-7B1B-0,ask_40_06.wav,audio/x-wav,99924
778778c35aa8536e3f1b9a3f4197086b,EAEA0-1DA0-002E-7B1B-0,web.mp3,audio/mpeg,25076
c6547a669ec18e2cb5232d9cdd5cb6c9,EAEA0-2007-FBA1-1BF1-0,ask_40_17.wav,audio/x-wav,169136
a54f681288a78065e489e5f91863b330,EAEA0-2007-FBA1-1BF1-0,web.mp3,audio/mpeg,40750
039e110123b9f107bd7644aad6c42ea9,EAEA0-21E5-A38A-836C-0,ask_40_28.wav,audio/x-wav,95544
ea4986b057a255c64da4d552ebc2a80f,EAEA0-21E5-A38A-836C-0,web.mp3,audio/mpeg,24031
