Language,ISO,Family,lng,lat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60,70,80,90,100,110,120,200,1000
Ashkun,ask,Nuristani,70.50105,35.03056,at͡ʃ,duː,trə,t͡sətaː,punt͡s,ʃu,soːt,oːʃt,nu,dos,t͡ʃenis,baːjs,trejs,t͡sudis,pat͡sejs,ʃuɽis,sətaːjs,aʃʈaːjs,wusu,wiʃi,wiʃaː at͡ʃ,wiʃaː duː,wiʃaː trə,wiʃaː t͡sətaː,wiʃaː punt͡s,wiʃaː ʃu,wiʃaː soːt,wiʃaː oːʃt,wiʃaː nu,wiʃaː dos,wiʃaː t͡ʃenis,wiʃaː baːjs,wiʃaː trejs,wiʃaː t͡sudis,wiʃaː pat͡sejs,wiʃaː ʃuɽis,wiʃaː sətaːjs,wiʃaː aʃʈaːjs,wiʃaː wusu,duːʃi,duːʃaː at͡ʃ,duːʃaː duː,duːʃaː trə,duːʃaː t͡sətaː,duːʃaː punt͡s,duːʃaː ʃu,duːʃaː soːt,duːʃaː oːʃt,duːʃaː nu,duːʃaː dos,treʃi,treʃaː dos,t͡sətaːʃi,t͡sətaːʃaː dos,punt͡ʃi,punt͡ʃaː dos,punt͡ʃaː wiʃi,dusawa,azrə
Balti,bft,Tibeto-Burman,76.18363,35.23616,t͡ɕik,ŋis,χsum,bʑiː,ʁaː,truk,bdun,bgijad,rguː,ft͡ɕuː,t͡ɕust͡ɕik,t͡ɕuŋis,t͡ɕuksum,t͡ɕubʑiː,t͡ɕuʁaː,t͡ɕuruk,t͡ɕubdun,t͡ɕubgijad,t͡ɕurgu,ŋiɕuː,hr̥t͡saq t͡ɕik,hr̥t͡saq ŋis,hr̥t͡saq χsum,hr̥t͡sa bʑiː,hr̥t͡sa ʁaː,hr̥t͡sa truk,hr̥t͡sa bdun,hr̥t͡sa bgijad,hr̥t͡sa rguː,χsumt͡ɕuː,ŋiɕunah t͡ɕust͡ɕik,ŋiɕunah t͡ɕuŋis,ŋiɕunah t͡ɕuksum,ŋiɕunah t͡ɕubʑiː,ŋiɕunah t͡ɕuʁaː,ŋiɕunah t͡ɕuruk,ŋiɕunah t͡ɕubdun,ŋiɕunah t͡ɕubgijad,ŋiɕunah t͡ɕurguː,ŋiɕuŋis,ŋiɕuŋisnah t͡ɕik,ŋiɕuŋisnah ŋis,ŋiɕuŋisnah χsum,ŋiɕuŋisnah bʑiː,ŋiɕuŋisnah ʁaː,ŋiɕuŋisnah truk,ŋiɕuŋisnah bdun,ŋiɕuŋisnah bgijad,ŋiɕuŋisnah rguː,ʁaːpʰt͡ɕuː,ŋiɕuχsum,ŋiɕuχsumnah pʰt͡ɕuː,ŋiɕubʑiː,ŋiɕubʑinah pʰt͡ɕuː,bgijaː,bgijanah pʰt͡ɕuː,bgijanah ŋiɕuː,ŋibgijaː,stõːt͡ɕik
Bateri,btv,Indo-Aryan,72.92674,34.9582,jak,duː,ʈ͡ʂaː,t͡soːr,pãːz,ʂu,saːt,aːʈʰ,nuː,daʃ,jaːʃ,duwaːʃ,t͡ʃiːʃ,t͡suːdaʃ,pand͡ʒiːʃ,ʂuweːʃ,sataeːʃ,aʈʰaeːʃ,ũːbiʃ,biːʃ,jaku biːʃ,duːju biːʃ,ʈ͡ʂaju biːʃ,t͡suːru biːʃ,pãːzu biːʃ,ʂu ju biːʃ,saːtu biːʃ,aːʈu biːʃ,nuju biːʃ,daʃu biːʃ,jaːʃu biːʃ,duwaːʃu biːʃ,t͡ʃiːʃu biːʃ,t͡suda ʃu biːʃ,pand͡ʒiːʃu biːʃ,ʂuweːʃu biːʃ,sataeːʃu biːʃ,aʈʰaeːʃu biːʃ,jak kam dubiʃ,dubiʃ,jaku dubiʃ,du ju dubiʃ,ʈ͡ʂaju dubiʃ,t͡suːru dubiʃ,pãːzu dubiʃ,ʂu ju dubiʃ,saːtu dubiʃ,aːʈu dubiʃ,nuju dubiʃ,daʃu dubiʃ,ʈ͡ʂah biʃ,daʃu ʈ͡ʂah biʃ,t͡suːr biʃ,daʃu t͡suːr biʃ,ʃal,daʃ reː ʃal,ʂu biʃ,duː ʃal,zir
Brokskat,bkk,Indo-Aryan,76.43277,34.63458,ek,dy,træ,t͡ʃoːr,pũːʃ,ʂa,sat,aːʃ,ny,daːʃ,quːdæʃ,buːdæʃ,trøbæʃ,t͡ʃydæʃ,pændæʃ,ʂøbæʃ,satũːʃ,aːʃtũːʃ,kund͡ʒa,biʒa,biʒi ek,biʒi dy,biʒi træ,biʒi t͡ʃoːr,biʒi pũːʃ,biʒi ʂa,biʒi sat,biʒi aːʃ,biʒi ny,biʒi daːʃ,biʒi quːdæʃ,biʒi buːdæʃ,biʒi trøbæʃ,biʒi t͡ʃydæʃ,biʒi pændæʃ,biʒi ʂøbæʃ,biʒi satũːʃ,biʒi aːʃtũːʃ,biʒi kund͡ʒa,dubuʒu,dubuʒu ek,dubuʒu dy,dubuʒu træ,dubuʒu t͡ʃoːr,dubuʒu pũːʃ,dubuʒu ʂa,dubuʒu sat,dubuʒu aːʃ,dubuʒu ny,pʰinaːŋ ʈrabuʒu,ʈrabuʒu,pʰinaːŋ t͡ʃaːrbuʒu,t͡ʃaːrbuʒu,t͡ʃaːrbuʒu daʃ,ʃoː,ʃoː ʁadaʃ,ʃoː ʁobiʒa,dyʃa,stõː ek
"Burushaski, Hunza",bsk (h),isolate,74.59822,36.31293,han,alto,usko,walto,t͡sʰundo,miɕindo,tʰalo,altambo,hun t͡ɕo,toːrumo,turmahan,turma alto,turma usko,turma walto,turma t͡sʰundo,turma miɕindo,turma tʰalo,turma altambo,turma hun t͡ɕo,altʰer,altʰer han,altʰer alto,altʰer usko,altʰer walto,altʰer t͡sʰundo,altʰer miɕindo,altʰer tʰalo,altʰer altambo,altʰar hun t͡ɕo,altʰer toːrumo,altʰer turmahan,altʰer turma alto,altʰer turma usko,altʰer turma walto,altʰer turma t͡sʰundo,altʰer turma miɕindo,altʰer turma tʰalo,altʰer turma altambo,altʰer turma hun t͡ɕo,alto altʰer,alto altʰer han,alto altʰer alto,alto altʰer usko,alto altʰer walto,alto altʰer t͡sʰundo,alto altʰer miɕindo,alto altʰer tʰalo,alto altʰer altambo,alto altʰer hun t͡ɕo,alto altʰer toːrumo,iski altʰer,iski altʰer toːrumo,walti altʰer,walti altʰer toːrumo,---,tʰa,tʰake altʰer,alto tʰa,hazaːr
"Burushaski, Nagar",bsk (n),isolate,74.3672,36.2399,han,altat͡s,usko,walto,t͡sʰundo,miɕindo,tʰalo,altambo,hun t͡ɕo,toːrumo,turmahan,turma altat͡s,turma usko,turma walto,turma t͡sʰundo,turma miɕindo,turma tʰalo,turma altambo,turma hun t͡ɕo,altʰar,altʰar han,altʰar altat͡s,altʰar usko,altʰar walto,altʰar t͡sʰundo,altʰar miɕindo,altʰar tʰalo,altʰar altambo,altʰar hun t͡ɕo,altʰar toːrumo,altʰar turmahan,altʰar turma alto,altʰar turma usko,altʰar turma walto,altʰar turma t͡sʰundo,altʰar turma miɕindo,altʰar turma tʰalo,altʰar turma altambo,altʰar turma hun t͡ɕo,altu altʰar,altu altʰar han,altu altʰar altat͡s,altu altʰar usko,altu altʰar walto,altu altʰar t͡sʰundo,altu altʰar miɕindo,altu altʰar tʰalo,altu altʰar altambo,altu altʰar hun t͡ɕo,altu altʰar toːrumo,iski altʰar,iski altʰar toːrumo,walti altʰar,walti altʰar toːrumo,---,tʰa,tʰake altʰar,altu tʰa,hazaːr
Dameli,dml,Indo-Aryan,71.68785,35.37663,ek,duː,traː,t͡ʃoːr,pãːt͡ʃ,ʂo,sat,aʂ,no,daʃ,jaːʃ,baːʃ,troːʃ,t͡ʃandeːʃ,pan t͡ʃeːʃ,ʂoweːʃ,santaːʃ,aʂʈaːʃ,uneːʃ,biʃiː,biʃi oː ek,biʃi oː duː,biʃi oː traː,biʃi oː t͡ʃoːr,biʃi oː pãːt͡ʃ,biʃi oː ʂo,biʃi oː sat,biʃi oː aʂ,biʃi oː no,biʃi oː daʃ,biʃi oː jaːʃ,biʃi oː baːʃ,biʃi oː troːʃ,biʃi oː t͡ʃandeːʃ,biʃi oː pant͡ʃeːʃ,biʃi oː ʂoweːʃ,biʃi oː santaːʃ,biʃi oː aʂʈaːʃ,biʃi oː uneːʃ,du biʃiː,du biʃi oː ek,du biʃi oː duː,du biʃi oː traː,du biʃi oː t͡ʃoː,du biʃi oː pãːt͡ʃ,du biʃi oː ʂo,du biʃi oː sat,du biʃi oː aʂ,du biʃi oː no,du biʃi oː daʃ,traː biʃiː,traː biʃi oː daʃ,t͡ʃoːr biʃiː,t͡ʃoːr biʃi oː daʃ,pãːt͡ʃ biʃiː,pãːt͡ʃ biʃi oː daʃ,ʂo biʃiː,duː sawah,zir
Darwazi,prs (d),Iranian,70.6845,38.33353,jaːk,dəː,seː,t͡ʃɑːr,paːnd͡ʒ,ʃaːʃ,haːft,haːʃt,nəː,daː,jɑːzdaː,duwɑːzdaː,seːzdaː,t͡ʃɑːrdaː,pɑːnzdaː,ʃɑːnzdaː,avdaː,aʒdaː,niːzdaː,biːst,biːstə jaːk,biːstə dəː,biːstə seː,biːstə t͡ʃɑːr,biːstə paːnd͡ʒ,biːstə ʃaːʃ,biːstə haːft,biːstə haːʃt,biːstə nəː,siː,siːwə jaːk,siːwə dəː,siːwə seː,siːwə t͡ʃɑːr,siːwə paːnd͡ʒ,siːwə ʃaːʃ,siːwə haːft,siːwə haːʃt,siːwə nəː,t͡ʃəl,t͡ʃələ jaːk,t͡ʃələ dəː,t͡ʃələ seː,t͡ʃələ t͡ʃɑːr,t͡ʃələ paːnd͡ʒ,t͡ʃələ ʃaːʃ,t͡ʃələ haːft,t͡ʃələ haːʃt,t͡ʃələ nəː,pind͡ʒɑː,ʃaːst,aftɑːd,aʃtɑːd,nawad,sad,jaːk sadə daː,jaːk sadə biːst,də sad,azɑːr
Gawarbati (Afgh),gwt (a),Indo-Aryan,71.52251,35.22136,jak,du,ɬe,t͡sur,pant͡s,ʂoː,sat,aʂʈ,nu,daʂ,d͡ʒaːʂ,baːʂ,ɬawanʂ,t͡sudaʂ,pint͡ʃaʂ,ʂoɽaːs,sataːs,aʂʈaːs,aniʃ,iʃi,iʃo jak,iʃo du,iʃo ɬe,iʃo t͡sur,iʃo pant͡s,iʃo ʂoː,iʃo sat,iʃo aʂʈ,iʃo nu,iʃo daʂ,iʃo d͡ʒaːʂ,iʃo baːʂ,iʃo ɬawanʂ,iʃo t͡sudaʂ,iʃo pint͡ʃaʂ,iʃo ʂoɽaːs,iʃo sataːs,iʃo aʂʈaːs,iʃo iniʃ,dujʃi,dujʃo jak,dujʃo du,dujʃo ɬe,dujʃo t͡sur,dujʃo pant͡s,dujʃo ʂoː,dujʃo sat,dujʃo aʂʈ,dujʃo nu,dujʃo daʂ,ɬejʃi,"ɬejʃo daʂ, saːtiʃi",t͡surʃi,t͡surʃo daʂ,panʃi,panʃo daʂ,ʂojʃi,du sawa,daʂ panʃi
Gawarbati (Pak),gwt (p),Indo-Aryan,71.54742,35.31012,jak,du,ɬe,t͡suːr,pant͡s,ʂoː,sat,aʂʈ,nuː,daʂ,d͡ʒaːʂ,baːʂ,ɬawanʂ,t͡sudaʂ,pent͡ʃaʂ,ʂoɽaːs,sataːs,aʂʈaːs,iniʃ,iʃi,iʃo jak,iʃo du,iʃo ɬe,iʃo t͡sur,iʃo pant͡s,iʃo ʂoː,iʃo sat,iʃo aʂʈ,iʃo nuː,iʃo daʂ,iʃo d͡ʒaːʂ,iʃo baːʂ,iʃo ɬawanʂ,iʃo t͡sudaʂ,iʃo pent͡ʃaʂ kam duiʃi,iʃo ʂoɽaːs,iʃo sataːs,iʃo aʂʈaːs,ja kam duiʃi,duiʃi,duiʃo jak,duiʃo du,duiʃo ɬe,duiʃo t͡sur,duiʃo pant͡s kam duiʃo daʂ,duiʃo ʂoː,duiʃo sat,duiʃo aʂʈ,duiʃo nuː,duiʃo daʂ,ɬeiʃi,ɬeiʃo daʂ,t͡surʃi,t͡surʃo daʂ,paĩʃi,paĩʃo daʂ,ʂoiʃi,"daiʃi, du sawa",zar
