Lg variety (name),ISO,Coord1,Coord2,GC01a,GC01b,GC01c,GC02a,GC02b,GC02c,GC02d,GC03,GC04a,GC04b,GC05a,GC05b,GC06a,GC06b,GC07a,GC07b,PH01a,PH01b,PH01c,PH02a,PH02b,PH03a,PH03b,PH03c,PH03d,PH04,PH05a,PH05b,PH06,PH07,PH08a,PH08b,WO01a,WO01b,WO02a,WO02b,WO02c,WO03,WO04a,WO04b,WO05a,WO05b,WO06,WO07a,WO07b,WO08,WO09,WO10,CS01a,CS01b,CS02a,CS02b,CS03a,CS03b,CS03c,CS04a,CS04b,CS05,CS06a,CS06b,CS06c,CS07,CS08,CS09,LX01a,LX01b,LX01c,LX01d,LX01e,LX02a,LX02b,LX03a,LX03b,LX04a,LX04b,LX05,LX06a,LX06b,LX07,LX08
Ashkun,ask,70.50105,35.03056,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,?,1,?,?,0,?,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1
Balti,bft,76.18363,35.23616,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bateri,btv,72.92674,34.95820,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,?,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,?,1,1,0,0,0,?,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Brokskat,bkk,76.43277,34.63458,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,?,0,0,1,1,1,0,0,0,?,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
Burushaski_H,bsk (h),74.59822,36.31293,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,?,?,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
Burushaski_N,bsk (n),74.36720,36.23990,1,1,1,1,0,0,1,?,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
Dameli,dml,71.68785,35.37663,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,?,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,?,?,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1
Darwazi,prs (d),70.68450,38.33353,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,?,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
Gawarbati_A,gwt (a),71.52251,35.22136,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,?,?,0,1,1,?,?,?,?,0,0,1,0,1,1,1,?,1,1,1,0
Gawarbati_P,gwt (p),71.54742,35.31012,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,?,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0
Gawri,gwc,72.59606,35.48367,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,?,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
Gojri_A,gju (a),71.47042,35.14361,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
Gojri_P,gju (p),73.99123,34.73142,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,?,1,1,1,0,0,?,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
